id,answer
5e7a923dd6e4ccb8730eb95230e0c908,2013年11月6
a2e9cd802197b8f8dfbe235e2761f9ed,國。時任弗蘭德爾軍司令斯皮
c7c8a85b3f0006d44d86510a22193620,教，聚集多人之處，其所稱童姓，既有義和拳名色
7f4f68726faed6b987e348340a9e6a61,給，約1/2依靠進口，棉花品質良好，每年有大量出口。咖啡種
89908ef5182021a9aec1472c5bbcbd8c,國地質大學逸夫博物館館藏各類地質標本達3萬餘件，其中珍貴罕
14f4fbc7e40d017836f414e71acead71,南一帶疆域，至此漸漸穩定。疆域範圍：北方與曹魏對峙於秦
4911c04597a5e2d7eb539efa00c053f8,軍藤井兵團動用1萬兵力入侵中山，3月
755ebc079613e214f1abd5d52a6e8d32,。同時，該黨也是現時中華人民共和國全國人大常委會的第三大黨
38e45c1c2c6e7a96080bd753c7fadb43,洲太平洋經濟合作會議的註冊商標
d52156507573c4742d4e75a887e5b5d7,的軍隊。儘管羅馬士兵浴血奮戰，還是被哥德的騎兵
196459cd4f5ef8c3131171430d4eeaca,南省外，
f5594e2e303b34fb1620da127d930d9c,。專有軟體對軟體未來的版本和軟
a5ba4f33e0a83a9ecba9b0f3adfd7b14,的共產黨尋求基督教和馬克思主義的合作並且
63ea80494c552fecb4b54eb64f226686,仍然持續，
ba806d826731e8dc38c8e8f1300b6726,備得悉曹操得漢中，將危害蜀地安全，便與孫權和談平分荊
9fe42ca2d1efeaa8e1fd45120612cc8e,月瑪莎正式進入藝工隊服役，
ddbea2ca7dda8989670a5ff773eb243a,江這三個省份。後來東三省的西
d82f4c4513687055ce042071780452e4,南為外郭城
3d5d21134f95a76609c8441eb73813c4,州百姓的民心被動搖。然而，當西
4c2f00fb03ad43b8209325c21201905a,信音樂」，旗下擁有多組
39ab6557763c3f915179675dedf63b30,的汽車產品
adb2675ed651e3f67ab671f82cc264fb,灣，西
b8664bcbea5402f9fa5885b9ed231f12,灣。最長支流密蘇里河的源頭
e2d2afe821fc59ddc9227d64e35c7c32,尋這些區域內的近地天體。電荷
e84fd3b41339ec4558004d66ebda27d0,莊向南至清江浦黃淮運三水交匯處，
f7dba33d747a99b0429e08b4c1ac3363,能成為基於
0ab024ea410b8dcf969f868e4c114fe7,2013年11月6
37bc5ae3cd3acd6788727c388c397b1d,國曼谷召開，確定將亞太經合會秘書處設於新加坡，為APEC各層次
d2a6608bafac0e882e002bdddc63db64,統示範線主線巴1路「利和廣場-火炬公交樞紐
ad3029557fb36d544b35f1aec3fbc865,本治臺多年，成績甚佳。除了硬體以外，
8d38d1718277da29fee660dcef42ac46,釋權帶來重大的衝擊。舉例說：就單就法官
09cb4edaa869505cd516d727ff4758fd,海與裏海之間，西
6bdd2dc8bbbdca1034cba722ec182d98,水系
6694159995d0c7acf63cedb816d2beb6,擎，維基媒體基金會的所有計畫
237fcd7ae827d78952c9e102123dbe62,能是地球上水的來源
8fba5163cafc7c9f7b3e772aff3658ea,國新型印刷機與瑞士發報設備，於
fae75c17ca82f292c196294625258a80,1945年由本名林坤義的林忠回臺灣來接收臺灣放送協會廣播設備
0d092b332bd42301a0f90ae706e41e61,有責任保障義務教育範圍內的未成年人完成義務教
09d280b721aba108c5f23e2935da60b8,能使觀看者能直接對影片發表評論，且產生與其他人創建一個
758c8ecbb9d846c0eea65f8e030e3b30,權狀況爭議的焦點
e88f40dbb7d96a7b1492faa139f131eb,關第一級職能部門，主要職責為組織指導國防動員和後備力量
7356186cc97b5886809ffee83ac04d93,術學院、人文與社會科學學院
a0adac4acd0a50397a77d9685351be81,15世紀，但是這是根據個人研究需要和個人研究發展方向
f24fa605a776040ace63cbe06fefaa7f,。人口比例下滑的原因之一是華人是注重對子女的培養與教
8b39ea7de68916747694ee8c067f9a18,不能把印度推
fc4aa703132069af01b46b80b8926fae,國家，阿拉伯海和紅海邊緣，
e3c5c08f75ce0efae51b73cc3ddfb564,國王腓特烈二世從奧地利手中奪取富庶的西
8db285906d93a358467ec1e26f8dd294,。一些國際條約中所規定的無罪推定、沉默權、非法證
162146ba9705943f9dbe2acc38df9a10,南極洲，只有澳洲沒有和南極洲完全分
d2b814fc7e42ff4a009d0bef2e45121e,種基於理性和仁慈
d2760b53cfec7122f970d0da8892bdac,爾奧運。大部份比賽項目在北京舉行，
26b334f765f5cb024ca1f03f005626d5,路檔案館共收錄了2400經典遊戲
05e399abc3e32f01bd2252365f9dcc96,的中心。由於是教區擁有首席地位
cd8c0590f03f7d7c9e3cdcd8b8151167,越多了。烏孜別克族男女在春、夏、秋
e0ea97598f9581af2545849e50be240a,統一中國後廢除國務院和國務總理，此後國法中雖無「總理」之官銜
6747fa16af9ecec16411f331f1ffacc2,的運動。同時限制留長髮、穿短裙和藍色
bf978949444b59d48d1726cc0ee2c095,水系
91743312a7d0e6afa14d864c32225cd4,南地區西
f3a151a19bd7ff605e0a78540a865b10,境。以湟水為界，北部和南部分屬祁連山地槽
f8dc5b8e2ce2aad1c21615e6cb44669e,們都
16224a4ba97c1131cd95fe492c3651d8,的著作，其中包括她的自傳，她的著作《靈心城堡》，是西
9b68f065c607b688fba428a02c4313c2,權的1920年代後期，該努力斷續的前進直到最近的時代
6daced661e57826af007d511eb0a26a3,南地區西
44862cd9d221786088b015adfb122df2,力打造省會和半島外的黃金三角經濟第三極
4230c5ff12e4efaa24d309e8750ff077,國立故宮博物院亦納入中央政府部門編組。其中的十部六
35f95deac7a7ed5326c47bc498222e95,軍，但皆戰敗而亡。而王濬軍沿長江配合其他晉軍攻下西
992806485ca338f51115364ffcd1c894,國會員，使該地就算有可以列入世界遺產資格的古蹟或人文美景
c1cb6699c12fa97d98d4b50acfe24078,。東接長寧區、徐匯區、川沙縣、南匯縣，南交閔行區、奉賢縣，西
3ae2000d7df822d5948453092763fc79,種電腦檔案格式，主要用於儲存掃描的文
ba9cbdf1823c859bb1c7bb29ecb072d0,國民革命軍第八路軍，紅一方面軍改編為第115師，
d248410b98dd74dd60eab5a65d47ab57,越受外界關注。火箭軍是中國的戰略導彈部隊
fa47adfdcf01d2cfed5b5652b8ce72e5,國的傳統盟國，
4dc403fead6031f91139aaa8f7f34536,仍未放棄，並於
7dd853027b5e38e65cd11d48020bd18d,術委員會，作為國務院所屬的一個主管科學技術工作的部門
4118829deb963df6a256958a92956116,給，約1/2依靠進口，棉花品質良好，每年有大量出口。咖啡種
0a8c59b26a6bca0f4135458db0147543,續逃離雒陽，董
4a047f7b90ba895a48492ecbd041e1f7,然可升格為太保市；但是，就在隔壁的嘉義縣議會大樓，卻
5ed4e9758e5709a5e38bd7a2c3812801,河。首先興建的壩河，西起大都光熙門
42829f4621afad8a037b51ce8987a75e,的同時，重點發展國有企業，
ba5b79e82cb28dc791cf18f196f29a16,陽二元論的色彩
a106be069e3193e4538d7ac2ea272ff0,府部門
d0304d10ad5d9d4d7080585598eee3d2,。他收集各派資訊，完善中國星官
287c7bd8e7f32775c8931abc10e7013d,確定2016年奧運會由巴西里約熱內盧舉辦。門票價格於2014年9月
91218a6bde635063f01ebebd99902dea,國代表團，見贈中華民國奧林匹克委員會主席鄧傳楷
1b496b891441a55a8a2a3983c33c9595,依然接近飽
972bbfdbab5b69f965e4876df564ba63,國共產黨的領導下。中共將其看作統戰工作。中國婦女在教
d138f7fe54ac70cb275383e0d4d5a501,估的和模擬考試成績的相差100分之巨，因而向教育局提出查詢考卷
ebb8635f8a9786f0b4ae5823a20f82d1,雖然被晚明董
b20ea5d771b62f8c418e103523739b64,信技術博覽會、漢諾瓦工業博覽會、商用車
521fe2c187ad31e0e15159221fc11b86,，簡稱民警，是中華人民共和國職業警察的法定名稱
58a49dab36bc5589133fa8d7326d4a5e,南延伸至西
67c06184200c0d94546ca2536327c6e5,「奉天子以令不臣」之策，迎奉漢獻帝到許
cd5f4d3cb8a7fcebcd618688f8a5c97f,術委員會第
08f760d109d955162a21932c2490a116,國海軍之LVT
ba1b1fb9bd89a76f7302b57320cc3f97,國軍費，此話觸怒了中央軍委主席鄧小平，促
345ffbb13230aff3fb3e774e65017191,的軍隊被迫撤回奧地利控制區過冬，因
36969632ec47dda467e8db260f256609,河、渭
9eaa5003af53a026c5b8d062ff2688a8,國其它地理大區
c246fccb3b3f5b11c4321c6c4668703c,尼亞的擴張，法國人於1750年代中期
30f43f2ad3dcf93ba8371529ee6d7312,南輻射總長達2000多公里的南
c42fe73536c6371c371bb7e14f1c904a,國。自15世紀後期
b50ea1bea852b8f38083e70d8a491cde,；並改善對工業行業分散管理的狀態，加強整體規劃和統籌
5d16fbc913f85477ff18dcd79e2ddac4,。它南與上萊茵省，西南與佛日省、默爾特-摩塞爾省，西
d7701c09aa0ef22581075f3d548d8624,軍擊敗。俄國工人及農民忍受不了無止盡的戰爭和貧困，在1917
